id,petal_length_cm,petal_width_cm,freshness_days,is_fragrant,species_Lily,species_Orchid,species_Rose,species_Sunflower,species_Tulip,color_Orange,color_Pink,color_Purple,color_Red,color_White,color_Yellow,cluster
-1.7303196219213357,0.7568975989529355,1.3178214612923276,0.1326434328938144,1.0,False,False,False,True,False,False,False,False,True,False,False,2.0
-1.7268555185741457,-0.5229047293087777,-1.2190620774148904,0.9902518352245108,1.0,False,False,True,False,False,False,True,False,False,False,False,0.0
-1.7233914152269558,0.2646659342368923,0.9298275083135764,1.5619907701116411,1.0,False,False,False,True,False,False,True,False,False,False,False,2.0
-1.719927311879766,0.0044863400298405,1.168593017838962,-0.1532260345497509,-1.0,True,False,False,False,False,False,False,False,False,False,True,2.0
-1.7164632085325762,1.3475755966121885,1.168593017838962,0.4185129003373798,-1.0,False,False,False,True,False,False,False,False,False,False,True,2.0
-1.7129991051853863,-0.5721278957803823,0.0344568475933819,0.1326434328938144,1.0,False,False,True,False,False,True,False,False,False,False,False,0.0
-1.7095350018381965,-0.9588813466287024,0.5418335553348257,-1.5825733717675778,-1.0,False,False,True,False,False,False,True,False,False,False,False,1.0
-1.7060708984910065,1.305384311065099,1.8998123907604545,0.4185129003373798,1.0,False,False,False,True,False,False,True,False,False,False,False,2.0
-1.7026067951438166,-0.4455540391391141,-0.0550802184786373,0.4185129003373798,-1.0,False,True,False,False,False,True,False,False,False,False,False,1.0
-1.6991426917966268,-0.2064700877056072,0.5119878666441524,-0.4390955019933163,-1.0,False,False,True,False,False,False,True,False,False,False,False,1.0
-1.695678588449437,0.0959007920485343,0.064302536284055,-1.0108344368804472,-1.0,False,True,False,False,False,False,False,False,False,True,False,1.0
-1.6922144851022471,1.213969859046405,0.2582995127734308,-1.5825733717675778,-1.0,False,False,False,True,False,False,False,True,False,False,False,2.0
-1.688750381755057,-0.4877453246862033,-0.8609138131268125,0.7043823677809452,1.0,False,False,False,False,True,True,False,False,False,False,False,0.0
-1.6852862784078677,-0.4666496819126584,-0.3983056384213789,-0.4390955019933163,1.0,False,True,False,False,False,False,False,False,True,False,False,0.0
-1.6818221750606774,-0.4947772056107181,-0.17446297324133,0.7043823677809452,1.0,False,False,False,True,False,False,True,False,False,False,False,0.0
-1.6783580717134876,-0.213501968630122,-0.8758366574721491,0.7043823677809452,1.0,False,False,True,False,False,False,False,False,False,False,True,0.0
-1.6748939683662978,1.2280336208954346,1.198438706529635,-1.0108344368804472,1.0,False,False,False,True,False,True,False,False,False,False,False,2.0
-1.671429865019108,0.0748051492749894,-0.2043086619320032,1.5619907701116411,1.0,False,False,False,True,False,False,False,False,False,False,True,0.0
-1.667965761671918,0.4474948382742798,0.7059848431335278,-0.1532260345497509,-1.0,False,False,True,False,False,False,False,False,False,True,False,2.0
-1.6645016583247283,1.910126070573381,1.049210263076269,-0.1532260345497509,-1.0,True,False,False,False,False,False,False,True,False,False,False,2.0
-1.6610375549775385,0.0677732683504746,-2.039818516408402,0.9902518352245108,-1.0,False,False,False,False,True,False,False,True,False,False,False,1.0
-1.6575734516303484,-0.600255419478442,0.1986081353920843,0.4185129003373798,1.0,False,False,True,False,False,False,False,False,True,False,False,0.0
-1.6541093482831586,0.0607413874259598,0.0941482249747282,-1.5825733717675778,-1.0,False,True,False,False,False,False,False,False,False,True,False,1.0
-1.6506452449359688,-0.684637990572621,2.108732211595166,-0.4390955019933163,-1.0,False,False,False,True,False,True,False,False,False,False,False,2.0
-1.647181141588779,0.5670368139910332,1.2581300839109812,0.1326434328938144,-1.0,True,False,False,False,False,False,False,False,False,False,True,2.0
-1.643717038241589,-0.8252756090629193,-0.6519939922921005,-0.4390955019933163,-1.0,False,False,False,False,True,True,False,False,False,False,False,1.0
-1.6402529348943993,-0.4596178009881436,0.6313706214068452,0.1326434328938144,-1.0,False,False,True,False,False,False,False,False,False,False,True,1.0
-1.6367888315472092,-0.2275657304791515,-1.5622874973576315,0.1326434328938144,-1.0,False,True,False,False,False,False,False,False,False,True,False,1.0
-1.6333247282000194,-1.9011533905137004,-1.338444832177583,0.9902518352245108,1.0,False,True,False,False,False,False,True,False,False,False,False,0.0
-1.6298606248528296,0.6865787897077866,1.064133107421606,0.9902518352245108,-1.0,True,False,False,False,False,False,False,False,False,True,False,2.0
-1.6263965215056395,-0.4525859200636288,0.586602088370835,-1.5825733717675778,-1.0,False,False,True,False,False,False,False,True,False,False,False,1.0
-1.62293241815845,2.550027234704237,1.243207239565645,0.1326434328938144,-1.0,True,False,False,False,False,False,False,False,True,False,False,2.0
-1.61946831481126,-1.078423322345456,-0.9056823461628224,-1.0108344368804472,1.0,False,False,False,False,True,False,False,False,True,False,False,0.0
-1.6160042114640705,1.5585320243476355,0.7656762205148742,0.9902518352245108,-1.0,True,False,False,False,False,False,False,False,False,False,True,2.0
-1.6125401081168802,0.2084108868407729,0.6612163100975184,1.5619907701116411,1.0,True,False,False,False,False,False,False,True,False,False,False,2.0
-1.6090760047696904,-1.9011533905137004,0.138916758010738,1.5619907701116411,1.0,False,True,False,False,False,False,True,False,False,False,False,0.0
-1.6056119014225003,0.1169964348220792,-0.5176883931840712,1.5619907701116411,1.0,False,True,False,False,False,False,True,False,False,False,False,0.0
-1.6021477980753107,-0.8323074899874341,0.6910619987881915,1.5619907701116411,-1.0,False,False,True,False,False,False,False,False,False,True,False,1.0
-1.5986836947281209,0.40530355272719,2.2131921220125226,-1.2967039043240125,1.0,False,False,False,True,False,False,False,False,False,False,True,2.0
-1.595219591380931,-1.1628058934396346,-0.2341543506226764,-1.5825733717675778,-1.0,False,False,False,False,True,False,False,False,False,True,False,1.0
-1.5917554880337412,-1.2471884645338136,-1.338444832177583,-1.2967039043240125,-1.0,False,False,False,False,True,False,False,False,False,True,False,1.0
-1.5882913846865512,1.108491645178681,1.243207239565645,-0.1532260345497509,-1.0,True,False,False,False,False,False,False,False,False,False,True,2.0
-1.5848272813393611,0.2646659342368923,0.3179908901547771,-1.2967039043240125,-1.0,True,False,False,False,False,False,False,False,False,False,True,1.0
-1.5813631779921715,-0.5932235385539272,-0.8012224357454661,-0.1532260345497509,1.0,False,False,True,False,False,True,False,False,False,False,False,0.0
-1.5778990746449817,-1.296411631005418,-1.7115159408109974,-1.2967039043240125,1.0,False,False,False,False,True,False,False,True,False,False,False,0.0
-1.574434971297792,0.0607413874259598,-0.9355280348534954,0.7043823677809452,-1.0,False,True,False,False,False,False,False,True,False,False,False,1.0
-1.570970867950602,2.479708425459089,0.5716792440254989,-1.5825733717675778,-1.0,True,False,False,False,False,False,False,False,True,False,False,2.0
-1.5675067646034122,2.550027234704237,1.52674128212704,0.4185129003373798,1.0,True,False,False,False,False,True,False,False,False,False,False,2.0
-1.5640426612562222,-0.5229047293087777,0.8701361309322306,-0.1532260345497509,-1.0,False,False,True,False,False,False,False,True,False,False,False,1.0
-1.5605785579090323,1.8187116185546877,0.5418335553348257,-0.4390955019933163,-1.0,True,False,False,False,False,False,False,True,False,False,False,2.0
-1.5571144545618425,-0.0025455408946748,1.1536701734936254,1.276121302668076,-1.0,True,False,False,False,False,False,False,True,False,False,False,2.0
-1.553650351214653,-0.8885625373835534,0.0195340032480453,0.4185129003373798,1.0,False,False,True,False,False,False,True,False,False,False,False,0.0
-1.5501862478674628,-1.7675476529479173,-0.4579970158027249,-0.4390955019933163,-1.0,False,True,False,False,False,False,False,False,False,True,False,1.0
