id,petal_length_cm,petal_width_cm,freshness_days,species_Orchid,species_Rose,species_Sunflower,species_Tulip,color_Pink,color_Purple,color_Red,color_White,color_Yellow,is_fragrant_Yes
-1.7303196219213355,0.7568975989529355,1.3178214612923276,0.13264343289381447,False,False,True,False,False,False,True,False,False,True
-1.7268555185741457,-0.5229047293087777,-1.2190620774148904,0.9902518352245107,False,True,False,False,True,False,False,False,False,True
-1.7233914152269558,0.26466593423689233,0.9298275083135763,1.5619907701116413,False,False,True,False,True,False,False,False,False,True
-1.719927311879766,0.004486340029840549,1.1685930178389619,-0.15322603454975092,False,False,False,False,False,False,False,False,True,False
-1.7164632085325762,1.3475755966121885,1.1685930178389619,0.41851290033737987,False,False,True,False,False,False,False,False,True,False
-1.7129991051853863,-0.5721278957803823,0.034456847593381905,0.13264343289381447,False,True,False,False,False,False,False,False,False,True
-1.7095350018381965,-0.9588813466287023,0.5418335553348257,-1.5825733717675778,False,True,False,False,True,False,False,False,False,False
-1.7060708984910065,1.3053843110650987,1.8998123907604543,0.41851290033737987,False,False,True,False,True,False,False,False,False,True
-1.7026067951438166,-0.4455540391391141,-0.055080218478637304,0.41851290033737987,True,False,False,False,False,False,False,False,False,False
-1.6991426917966268,-0.20647008770560726,0.5119878666441524,-0.4390955019933163,False,True,False,False,True,False,False,False,False,False
-1.695678588449437,0.09590079204853431,0.06430253628405509,-1.0108344368804472,True,False,False,False,False,False,False,True,False,False
-1.6922144851022471,1.213969859046405,0.2582995127734308,-1.5825733717675778,False,False,True,False,False,True,False,False,False,False
-1.6887503817550573,-0.4877453246862033,-0.8609138131268125,0.7043823677809452,False,False,False,True,False,False,False,False,False,True
-1.6852862784078675,-0.4666496819126584,-0.3983056384213789,-0.4390955019933163,True,False,False,False,False,False,True,False,False,True
-1.6818221750606774,-0.4947772056107181,-0.17446297324133003,0.7043823677809452,False,False,True,False,True,False,False,False,False,True
-1.6783580717134876,-0.21350196863012202,-0.8758366574721491,0.7043823677809452,False,True,False,False,False,False,False,False,True,True
-1.6748939683662978,1.2280336208954346,1.198438706529635,-1.0108344368804472,False,False,True,False,False,False,False,False,False,True
-1.671429865019108,0.07480514927498941,-0.2043086619320032,1.5619907701116413,False,False,True,False,False,False,False,False,True,True
-1.6679657616719181,0.4474948382742798,0.7059848431335278,-0.15322603454975092,False,True,False,False,False,False,False,True,False,False
-1.6645016583247283,1.9101260705733807,1.049210263076269,-0.15322603454975092,False,False,False,False,False,True,False,False,False,False
-1.6610375549775385,0.06777326835047465,-2.039818516408402,0.9902518352245107,False,False,False,True,False,True,False,False,False,False
-1.6575734516303484,-0.600255419478442,0.19860813539208438,0.41851290033737987,False,True,False,False,False,False,True,False,False,True
-1.6541093482831586,0.06074138742595988,0.09414822497472827,-1.5825733717675778,True,False,False,False,False,False,False,True,False,False
-1.6506452449359688,-0.684637990572621,2.108732211595166,-0.4390955019933163,False,False,True,False,False,False,False,False,False,False
-1.647181141588779,0.5670368139910332,1.2581300839109812,0.13264343289381447,False,False,False,False,False,False,False,False,True,False
-1.643717038241589,-0.8252756090629193,-0.6519939922921005,-0.4390955019933163,False,False,False,True,False,False,False,False,False,False
-1.6402529348943993,-0.45961780098814364,0.6313706214068452,0.13264343289381447,False,True,False,False,False,False,False,False,True,False
